15:12:19,747 INFO  [localhost-startStop-1][DialectDetector:71] Determine dialect for HSQL Database Engine 2
15:12:19,762 WARN  [localhost-startStop-1][DialectDetector:86] Liferay is configured to use Hypersonic as its database. Do NOT use Hypersonic in production. Hypersonic is an embedded database useful for development and demo'ing purposes. The database settings can be changed in portal-ext.properties.
15:12:19,810 INFO  [localhost-startStop-1][DialectDetector:136] Found dialect org.hibernate.dialect.HSQLDialect
15:12:45,924 INFO  [localhost-startStop-1][StartupAction:97] There are no patches installed
15:12:46,799 INFO  [localhost-startStop-1][BaseDB:481] Database supports case sensitive queries
15:12:47,205 INFO  [localhost-startStop-1][ServerDetector:140] Server supports hot deploy
15:12:47,220 INFO  [localhost-startStop-1][PluginPackageUtil:1013] Reading plugin package for the root context
15:13:15,551 INFO  [localhost-startStop-1][AutoDeployDir:139] Auto deploy scanner started for C:\Program Files\liferay-portal-6.2-ce-ga6\deploy
15:13:22,105 INFO  [localhost-startStop-1][HotDeployEvent:145] Plugin Rubisub-theme requires marketplace-portlet
15:13:22,153 INFO  [localhost-startStop-1][HotDeployImpl:276] Queueing Rubisub-theme for deploy because it is missing marketplace-portlet
15:13:31,466 INFO  [localhost-startStop-1][HotDeployEvent:145] Plugin calendar-portlet requires marketplace-portlet
15:13:31,466 INFO  [localhost-startStop-1][HotDeployImpl:276] Queueing calendar-portlet for deploy because it is missing marketplace-portlet
15:13:44,555 INFO  [localhost-startStop-1][HotDeployEvent:145] Plugin kaleo-web requires marketplace-portlet
15:13:44,555 INFO  [localhost-startStop-1][HotDeployImpl:276] Queueing kaleo-web for deploy because it is missing marketplace-portlet
15:13:48,067 INFO  [localhost-startStop-1][HotDeployImpl:217] Deploying marketplace-portlet from queue
15:13:48,067 INFO  [localhost-startStop-1][PluginPackageUtil:1016] Reading plugin package for marketplace-portlet
15:13:49,442 INFO  [localhost-startStop-1][HookHotDeployListener:709] Registering hook for marketplace-portlet
15:13:49,536 INFO  [localhost-startStop-1][HookHotDeployListener:851] Hook for marketplace-portlet is available for use
15:13:49,536 INFO  [localhost-startStop-1][PortletHotDeployListener:344] Registering portlets for marketplace-portlet
15:13:49,754 INFO  [localhost-startStop-1][PortletHotDeployListener:497] 3 portlets for marketplace-portlet are available for use
